indicador;unidade;codigo;nome;periodicidade;grupo;tipo_grafico;key;acumular_12m;mostrar_dashboard;ordem
Dívida Bruta do Governo Geral - FMI;%;4537;Dívida bruta do governo geral (% PIB) - Metodologia FMI;mensal;Finanças Públicas;linhas;divida_bruta_governo_geral_fmi;;sim;1

Produção total de autoveiculos - Anfavea;unidades;1373;;mensal;Mercado Automotivo;barras;producao_total_anfavea;sim;sim;1
Produção de automóveis e comerciais leves - Anfavea;unidades;1374;;mensal;Mercado Automotivo;barras;producao_leves_anfavea;sim;sim;1
Produção de caminhões - Anfavea;unidades;1375;;mensal;Mercado Automotivo;barras;producao_caminhoes_anfavea;sim;sim;1
Produção de onibus - Anfavea;unidades;1376;;mensal;Mercado Automotivo;barras;producao_onibus_anfavea;sim;sim;1
Vendas de veículos pelas concessionárias - Automóveis;unidades;7384;;mensal;Mercado Automotivo;barras;vandas_automoveis;sim;sim;1
Vendas de veículos pelas concessionárias - Comerciais leves;unidades;7385;;mensal;Mercado Automotivo;barras;vendas_onibus_comerciais leves;sim;sim;1
Vendas de veículos pelas concessionárias - Caminhões;unidades;7386;;mensal;Mercado Automotivo;barras;vandas_caminhoes;sim;sim;1
Vendas de veículos pelas concessionárias - Ônibus;unidades;7387;;mensal;Mercado Automotivo;barras;vandas_onibus;sim;sim;1

Resultado Nominal - Setor Público Consolidado - Fluxo Acumulado no Ano (% PIB);%;5441;NFSP sem desvalorização cambial (% PIB) - Fluxo acumulado no ano - Resultado nominal - Total - Setor público consolidado;mensal;Finanças Públicas;barras;resultado_nominal_spc_acum_ano_pib;;sim;1
Resultado Primário - Setor Público Consolidado - Fluxo Acumulado no Ano (% PIB);%;5507;NFSP sem desvalorização cambial (% PIB) - Fluxo acumulado no ano - Resultado primário - Total - Setor público consolidado;mensal;Finanças Públicas;barras;resultado_primario_spc_acum_ano_pib;;sim;1
Resultado Primário - Setor Público Consolidado - Fluxo Acumulado no Ano;R$ (milhões);4792;NFSP sem desvalorização cambial - Fluxo acumulado no ano - Resultado primário - Total - Setor público consolidado;mensal;Finanças Públicas;barras;resultado_primario_spc_acum_ano;;sim;1
